"taxon","evolvedTemp","currentTemp","competition","replicate","y0","y0_se","r","r_se","alpha","alpha_se","pseudo_r2","converged","n_iter","n_obs","y0_at_bound","r_at_bound","alpha_at_bound"
"Protist","30","25","TRUE","5",14.9999973250495,NA,0.0557397068256633,NA,7.74931980975066e-05,NA,0.561024679276708,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","5",14.9999844461545,NA,0.103467144995283,NA,0.000130746313768561,NA,0.529799002676107,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","30","TRUE","5",14.9999892352658,NA,0.104511349963215,NA,0.000144245061464457,NA,0.461275695905281,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","6",14.9999966704334,NA,0.0742875839562399,NA,7.04551942025669e-05,NA,0.870038597214876,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","6",14.99997521884,NA,0.111172536725407,NA,0.000141830795248375,NA,0.471881494670335,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","TRUE","6",8.81164964062489,NA,0.102962797416642,NA,0.000176408977696455,NA,0.791301177675251,TRUE,NA,16,FALSE,FALSE,TRUE
"Protist","30","25","TRUE","6",14.9999842178961,NA,0.0825309582853715,NA,0.00011786464160573,NA,0.837779033172128,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","6",14.9999879904025,NA,0.0795496788736883,NA,7.7121938522429e-05,NA,0.618001676793154,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","30","TRUE","6",14.999986688363,NA,0.0876459335979832,NA,0.000120009949806351,NA,0.277797591481231,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","7",14.9999930937962,NA,0.0595627123537668,NA,6.15305641750232e-05,NA,0.744119369647895,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","7",5.01204436869794,NA,0.294469116375929,NA,0.000502868723793656,NA,0.359295124058274,TRUE,NA,16,TRUE,FALSE,FALSE
