"day","evolvedTemp","currentTemp","competition","species","treatID","repNum","repID","singlePass","fullSlide","passConvert","count","hour"
2.5,"30","30","TRUE","protist","E30HRP","4","I",53,NA,360.4,360.4,60
2.5,"30","25","TRUE","protist","E30NRP","4","J",31,NA,210.8,210.8,60
2.5,"25","25","FALSE","protist","HP","5","E",68,NA,462.4,462.4,60
2.5,"25","30","FALSE","protist","NP","5","F",160,NA,1088,1088,60
2.5,"25","25","TRUE","protist","E25HRP","5","G",63,NA,428.4,428.4,60
2.5,"25","30","TRUE","protist","E25NRP","5","H",141,NA,958.8,958.8,60
2.5,"30","30","TRUE","protist","E30HRP","5","I",98,NA,666.4,666.4,60
2.5,"30","25","TRUE","protist","E30NRP","5","J",63,NA,428.4,428.4,60
2.5,"25","25","FALSE","protist","HP","6","E",74,NA,503.2,503.2,60
2.5,"25","30","FALSE","protist","NP","6","F",166,NA,1128.8,1128.8,60
2.5,"25","25","TRUE","protist","E25HRP","6","G",80,NA,544,544,60
2.5,"25","30","TRUE","protist","E25NRP","6","H",111,NA,754.8,754.8,60
2.5,"30","30","TRUE","protist","E30HRP","6","I",89,NA,605.2,605.2,60
2.5,"30","25","TRUE","protist","E30NRP","6","J",60,NA,408,408,60
2.5,"25","25","FALSE","protist","HP","7","E",49,NA,333.2,333.2,60
2.5,"25","30","FALSE","protist","NP","7","F",83,NA,564.4,564.4,60
2.5,"25","25","TRUE","protist","E25HRP","7","G",54,NA,367.2,367.2,60
2.5,"25","30","TRUE","protist","E25NRP","7","H",44,NA,299.2,299.2,60
2.5,"30","30","TRUE","protist","E30HRP","7","I",101,NA,686.8,686.8,60
2.5,"30","25","TRUE","protist","E30NRP","7","J",42,NA,285.6,285.6,60
2.5,"25","25","FALSE","protist","HP","8","E",58,NA,394.4,394.4,60
2.5,"25","30","FALSE","protist","NP","8","F",124,NA,843.2,843.2,60
2.5,"25","25","TRUE","protist","E25HRP","8","G",76,NA,516.8,516.8,60
2.5,"25","30","TRUE","protist","E25NRP","8","H",116,NA,788.8,788.8,60
2.5,"30","30","TRUE","protist","E30HRP","8","I",78,NA,530.4,530.4,60
2.5,"30","25","TRUE","protist","E30NRP","8","J",73,NA,496.4,496.4,60
2.5,"25","25","FALSE","protist","HP","9","E",116,NA,788.8,788.8,60
2.5,"25","30","FALSE","protist","NP","9","F",102,NA,693.6,693.6,60
2.5,"25","25","TRUE","protist","E25HRP","9","G",58,NA,394.4,394.4,60
2.5,"25","30","TRUE","protist","E25NRP","9","H",95,NA,646,646,60
2.5,"30","30","TRUE","protist","E30HRP","9","I",92,NA,625.6,625.6,60
2.5,"30","25","TRUE","protist","E30NRP","9","J",103,NA,700.4,700.4,60
