"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_se","alpha_se","pseudo_r2_log","pseudo_r2_count","converged","n_iter","n_obs","r_at_bound","alpha_at_bound"
"30","25","TRUE","10",13,0.218355898750858,0.000395352339581826,NA,NA,0.787853189514461,0.355624324591483,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","1",12,0.323421710857949,0.000502027731389893,NA,NA,0.816761833790909,0.243430248072556,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","2",16,0.167153156366027,0.000234937155902021,NA,NA,0.836046867740424,0.5236814193536,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","3",20,0.239737189398018,0.000559631875835379,NA,NA,0.292747170392957,0.0244915924552277,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","4",14,0.241047978685863,0.000449509139519428,NA,NA,0.804639623844081,0.362463468006116,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","5",15,0.245867272131895,0.000398296475760484,NA,NA,0.847835522758749,0.37988860339026,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","6",20,0.224219180605475,0.000382237041779424,NA,NA,0.757794193209347,0.238169855627735,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","7",20,0.18296978869835,0.000322284533177139,NA,NA,0.823097323764633,0.554321072482959,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","8",17,0.237611722539068,0.000472737664081725,NA,NA,0.602161051983251,0.14864435544643,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","9",12,0.336805113650541,0.000525392706342394,NA,NA,0.823131383944751,0.321407655502904,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","10",24,0.246859102403501,0.000310760413747671,NA,NA,0.766972253535374,0.293453081158111,TRUE,NA,16,FALSE,FALSE
