"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_boot_se","r_boot_lo","r_boot_hi","alpha_boot_se","alpha_boot_lo","alpha_boot_hi","n_boot_success"
"25","30","TRUE","9",9,0.297768143604927,0.00051067078697994,0.0802404053426783,0.207111320996088,0.453586813545338,0.000206969662347583,0.000318489121551036,0.000899766921757131,1000
"25","30","TRUE","10",29,0.253869535181099,0.000344954355093513,0.159031689472021,0.183203933002809,0.543259655727028,0.000263567349302732,0.00022377029141542,0.000832467892513729,1000
"30","25","TRUE","1",7,0.149127962864669,0.000195390803180046,0.0157143141735959,0.12368012234637,0.186014893859848,3.13771858709958e-05,0.000145192494183842,0.000268021659603779,1000
"30","25","TRUE","2",12,0.14896001840778,0.000251735391775834,0.0208003028036195,0.114669271189384,0.197515378149188,4.92732015433486e-05,0.00017176683029105,0.000362146849965362,1000
"30","25","TRUE","3",17,0.203945142179547,0.000406774875611789,0.030748362350372,0.167237730661829,0.286217558763973,7.77136524261193e-05,0.00030620244494542,0.000615470402703157,1000
"30","25","TRUE","4",8,0.257005837226485,0.000580575257359457,0.0752078123085996,0.155441038779554,0.40403160800084,0.000260651991888602,0.000308162192279116,0.00116290740017423,1000
"30","25","TRUE","5",17,0.213062082696098,0.000398229070125299,0.0409733999630693,0.14351253558035,0.308126358951088,0.000101671587067129,0.000249608222326768,0.000654874336253742,1000
"30","25","TRUE","6",17,0.0840526609186697,0.000123856645944121,0.00582393310530589,0.0742949846504007,0.0971629100660192,1.36870673107186e-05,9.93370921488872e-05,0.000152443313156369,1000
"30","25","TRUE","7",20,0.2483147917591,0.000578084495840527,0.348319818936985,0.167683939099725,1.53518512741095,0.000877199463829286,0.000352146512959833,0.00378148101293071,1000
"30","25","TRUE","8",18,0.110607209136455,0.000213993208452048,0.0185062440661612,0.0737555089653652,0.142778459946882,5.18841682061327e-05,0.000126024348723144,0.000332267473962165,1000
"30","25","TRUE","9",17,0.208898499256514,0.000349031151939643,0.0360389421279224,0.140428306525195,0.286803974048339,8.1658124577704e-05,0.000221656157799284,0.000544872429933393,1000
"30","25","TRUE","10",13,0.218355898750858,0.000395352339581826,0.0426543833017297,0.138982379301513,0.300544156531209,0.000110549952570441,0.000233833612331181,0.000654120745671825,1000
"30","30","TRUE","1",12,0.323421710857949,0.000502027731389893,0.299828642264429,0.218336135287263,1.52238111933272,0.000529893616923516,0.000313387117486124,0.00262240211072784,1000
"30","30","TRUE","2",16,0.167153156366027,0.000234937155902021,0.0278179983803768,0.124234120371313,0.23268310719974,5.1376281716115e-05,0.000154840115519828,0.000353235534574421,1000
"30","30","TRUE","3",20,0.239737189398018,0.000559631875835379,0.575798355499484,0.0727314698434953,1.97758647528047,0.00236372324417682,0.000137581263980355,0.00759992117681346,1000
"30","30","TRUE","4",14,0.241047978685863,0.000449509139519428,0.0462441122426288,0.166313088055727,0.337464943543859,0.000116387771409291,0.000278708997542442,0.000738470992603575,1000
"30","30","TRUE","5",15,0.245867272131895,0.000398296475760484,0.0422239164817432,0.182544585408859,0.346952569412861,9.18354367717883e-05,0.000264843850219072,0.000622808788631362,1000
"30","30","TRUE","6",20,0.224219180605475,0.000382237041779424,0.127612251520637,0.142949290601303,0.441014614522429,0.000279232889714383,0.000221580152301859,0.000824034576282426,1000
"30","30","TRUE","7",20,0.18296978869835,0.000322284533177139,0.0294094130317308,0.12714910645156,0.239855793484358,7.01240443452015e-05,0.000207859707853189,0.00048355349284991,1000
"30","30","TRUE","8",17,0.237611722539068,0.000472737664081725,0.274223556574479,0.121402539165298,1.42343984887497,0.000665409063526664,0.000211287906590763,0.00302033925637213,1000
"30","30","TRUE","9",12,0.336805113650541,0.000525392706342394,0.242779359116456,0.230131727018231,1.47569314954174,0.000443237337021204,0.000316525186859964,0.00243070021151001,1000
"30","30","TRUE","10",24,0.246859102403501,0.000310760413747671,0.0778721979534294,0.162629099012781,0.391103265133137,0.000134222293905568,0.000188550692897539,0.000566966304203162,1000
