image_name,area_px
25_8.MP4.00_02_03_05.Still027__det1__cls1__crop00292_Simple Segmentation.tiff,3811
25_8.MP4.00_02_06_05.Still028__det0__cls1__crop00293_Simple Segmentation.tiff,5108
25_8.MP4.00_02_06_05.Still028__det1__cls1__crop00294_Simple Segmentation.tiff,6406
25_8.MP4.00_02_09_22.Still029__det0__cls1__crop00295_Simple Segmentation.tiff,5797
25_9.MP4.00_00_04_02.Still001__det0__cls1__crop00298_Simple Segmentation.tiff,4299
25_9.MP4.00_00_21_00.Still003__det0__cls1__crop00300_Simple Segmentation.tiff,4898
25_9.MP4.00_00_31_26.Still004__det1__cls1__crop00302_Simple Segmentation.tiff,2463
25_9.MP4.00_00_37_06.Still005__det1__cls1__crop00303_Simple Segmentation.tiff,3406
25_9.MP4.00_00_56_25.Still008__det0__cls1__crop00307_Simple Segmentation.tiff,2532
25_9.MP4.00_00_59_13.Still009__det0__cls1__crop00308_Simple Segmentation.tiff,4665
25_9.MP4.00_00_59_13.Still009__det1__cls1__crop00309_Simple Segmentation.tiff,4934
25_9.MP4.00_01_07_00.Still011__det0__cls1__crop00310_Simple Segmentation.tiff,3616
25_9.MP4.00_01_11_00.Still012__det0__cls1__crop00311_Simple Segmentation.tiff,4469
25_9.MP4.00_01_15_13.Still013__det0__cls1__crop00312_Simple Segmentation.tiff,5312
25_9.MP4.00_01_18_06.Still014__det1__cls1__crop00313_Simple Segmentation.tiff,5569
25_9.MP4.00_01_23_00.Still015__det2__cls1__crop00316_Simple Segmentation.tiff,3252
25_9.MP4.00_01_25_23.Still016__det2__cls1__crop00317_Simple Segmentation.tiff,4971
25_9.MP4.00_01_26_21.Still017__det0__cls1__crop00318_Simple Segmentation.tiff,5492
25_9.MP4.00_01_34_03.Still019__det0__cls1__crop00320_Simple Segmentation.tiff,6161
25_9.MP4.00_01_35_09.Still020__det0__cls1__crop00321_Simple Segmentation.tiff,6278
25_9.MP4.00_01_35_09.Still020__det1__cls1__crop00322_Simple Segmentation.tiff,3932
25_9.MP4.00_01_40_23.Still021__det3__cls1__crop00323_Simple Segmentation.tiff,5785
25_9.MP4.00_01_45_19.Still022__det0__cls1__crop00324_Simple Segmentation.tiff,4313
25_9.MP4.00_02_03_09.Still027__det0__cls1__crop00326_Simple Segmentation.tiff,6161
25_9.MP4.00_02_08_07.Still028__det1__cls1__crop00327_Simple Segmentation.tiff,5209
30_1.MP4.00_00_11_10.Still002__det0__cls1__crop00329_Simple Segmentation.tiff,4640
30_1.MP4.00_00_19_28.Still004__det2__cls1__crop00332_Simple Segmentation.tiff,3255
30_1.MP4.00_00_26_21.Still005__det0__cls1__crop00333_Simple Segmentation.tiff,3892
30_1.MP4.00_00_44_22.Still009__det0__cls1__crop00336_Simple Segmentation.tiff,6990
30_1.MP4.00_00_44_22.Still009__det1__cls1__crop00337_Simple Segmentation.tiff,2565
30_1.MP4.00_00_44_22.Still009__det4__cls1__crop00339_Simple Segmentation.tiff,2500
30_1.MP4.00_00_55_24.Still010__det1__cls1__crop00341_Simple Segmentation.tiff,3811
30_1.MP4.00_01_25_18.Still014__det0__cls1__crop00343_Simple Segmentation.tiff,2753
30_1.MP4.00_01_27_27.Still015__det0__cls1__crop00344_Simple Segmentation.tiff,6947
30_1.MP4.00_01_33_29.Still017__det1__cls1__crop00346_Simple Segmentation.tiff,6638
30_1.MP4.00_01_40_13.Still018__det1__cls1__crop00347_Simple Segmentation.tiff,6465
30_1.MP4.00_01_52_04.Still020__det0__cls1__crop00348_Simple Segmentation.tiff,3592
30_1.MP4.00_02_38_20.Still028__det1__cls1__crop00356_Simple Segmentation.tiff,4320
30_1.MP4.00_02_52_22.Still031__det0__cls1__crop00358_Simple Segmentation.tiff,5888
30_1.MP4.00_02_58_04.Still032__det0__cls1__crop00360_Simple Segmentation.tiff,3574
30_1.MP4.00_03_02_18.Still033__det1__cls1__crop00362_Simple Segmentation.tiff,5609
30_10.MP4.00_00_07_12.Still002__det1__cls1__crop00364_Simple Segmentation.tiff,6186
30_10.MP4.00_00_25_12.Still004__det0__cls1__crop00366_Simple Segmentation.tiff,2591
30_10.MP4.00_00_27_13.Still005__det1__cls1__crop00367_Simple Segmentation.tiff,3156
30_10.MP4.00_00_30_01.Still006__det0__cls1__crop00368_Simple Segmentation.tiff,3083
30_10.MP4.00_00_44_26.Still007__det0__cls1__crop00369_Simple Segmentation.tiff,4111
30_10.MP4.00_00_50_02.Still008__det0__cls1__crop00370_Simple Segmentation.tiff,2347
30_10.MP4.00_01_09_00.Still010__det3__cls1__crop00372_Simple Segmentation.tiff,5884
30_10.MP4.00_01_18_12.Still012__det0__cls1__crop00373_Simple Segmentation.tiff,4415
30_10.MP4.00_01_25_00.Still014__det0__cls1__crop00374_Simple Segmentation.tiff,2665
30_10.MP4.00_01_28_13.Still015__det1__cls1__crop00375_Simple Segmentation.tiff,2321
30_10.MP4.00_01_36_26.Still017__det5__cls1__crop00377_Simple Segmentation.tiff,2511
30_10.MP4.00_02_22_17.Still027__det0__cls1__crop00385_Simple Segmentation.tiff,4546
30_10.MP4.00_02_39_12.Still030__det1__cls1__crop00390_Simple Segmentation.tiff,6630
30_10.MP4.00_02_39_12.Still030__det2__cls1__crop00391_Simple Segmentation.tiff,3259
30_10.MP4.00_02_54_15.Still032__det2__cls1__crop00393_Simple Segmentation.tiff,6865
30_2.MP4.00_00_08_11.Still001__det0__cls1__crop00397_Simple Segmentation.tiff,4058
30_2.MP4.00_00_13_14.Still002__det1__cls1__crop00398_Simple Segmentation.tiff,3070
30_2.MP4.00_00_29_02.Still005__det1__cls1__crop00400_Simple Segmentation.tiff,3288
30_2.MP4.00_01_29_28.Still015__det0__cls1__crop00407_Simple Segmentation.tiff,3561
30_2.MP4.00_01_41_15.Still016__det0__cls1__crop00408_Simple Segmentation.tiff,2782
30_2.MP4.00_01_58_12.Still019__det0__cls1__crop00411_Simple Segmentation.tiff,4669
30_2.MP4.00_02_07_24.Still020__det0__cls1__crop00412_Simple Segmentation.tiff,3614
30_2.MP4.00_02_08_25.Still021__det0__cls1__crop00413_Simple Segmentation.tiff,3250
30_2.MP4.00_02_08_25.Still021__det1__cls1__crop00414_Simple Segmentation.tiff,2711
30_2.MP4.00_02_14_13.Still022__det1__cls1__crop00415_Simple Segmentation.tiff,2632
30_2.MP4.00_02_27_27.Still025__det1__cls1__crop00418_Simple Segmentation.tiff,3649
30_3.MP4.00_00_31_02.Still003__det0__cls1__crop00420_Simple Segmentation.tiff,5106
30_3.MP4.00_00_46_00.Still005__det0__cls1__crop00421_Simple Segmentation.tiff,4034
30_3.MP4.00_00_56_23.Still006__det0__cls1__crop00423_Simple Segmentation.tiff,3034
