Day,CloneID,Rep,Count,Contaminated
10,2.3,2,74,FALSE
10,2.3,3,123,TRUE
10,2.3,4,71,FALSE
10,2.3,5,127,FALSE
10,2.3,6,97,FALSE
10,2.3,7,170,FALSE
10,2.3,8,123,FALSE
10,2.4,1,0,TRUE
10,2.4,2,4,TRUE
10,2.4,3,104,FALSE
10,2.4,4,31,FALSE
10,2.4,5,5,TRUE
10,2.4,6,12,TRUE
10,2.4,7,6,TRUE
10,2.4,8,1,TRUE
10,2.5,1,61,TRUE
10,2.5,2,63,FALSE
10,2.5,3,76,FALSE
10,2.5,4,64,FALSE
10,2.5,5,53,FALSE
10,2.5,6,90,TRUE
10,2.5,7,64,TRUE
10,2.5,8,92,TRUE
